latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
67.27237,83.21037,323.2,0.58,0.7,2021-01-01,0336,1,nominal,2.0NRT,237.9,3.3,N
67.28277,83.02978,351.6,0.58,0.7,2021-01-01,0336,1,nominal,2.0NRT,242.6,7.3,N
67.27893,83.03838,334.6,0.58,0.7,2021-01-01,0336,1,nominal,2.0NRT,241.2,5.6,N
67.59464,83.24083,367,0.56,0.68,2021-01-01,0336,1,high,2.0NRT,242.1,11.5,N
68.41682,83.62416,367,0.49,0.65,2021-01-01,0336,1,high,2.0NRT,238.6,11.2,N
66.66811,80.45646,338.1,0.68,0.74,2021-01-01,0336,1,nominal,2.0NRT,238.8,6.7,N
66.66451,80.4658,320.5,0.68,0.74,2021-01-01,0336,1,nominal,2.0NRT,239.6,3,N
66.66733,80.44995,334.1,0.68,0.74,2021-01-01,0336,1,nominal,2.0NRT,237.8,4.3,N
67.70943,81.26376,336.2,0.57,0.69,2021-01-01,0336,1,nominal,2.0NRT,241.4,3.9,N
66.28801,78.74615,330.1,0.75,0.77,2021-01-01,0336,1,nominal,2.0NRT,238,8.6,N
66.28162,78.73963,351.3,0.76,0.77,2021-01-01,0336,1,nominal,2.0NRT,246.7,8.6,N
67.30405,79.06626,367,0.64,0.72,2021-01-01,0336,1,high,2.0NRT,240.9,9.6,N
67.29867,79.06041,339.5,0.64,0.72,2021-01-01,0336,1,nominal,2.0NRT,241.5,9.6,N
67.30565,79.05431,367,0.64,0.72,2021-01-01,0336,1,high,2.0NRT,238.2,9,N
67.30025,79.04856,344.1,0.64,0.72,2021-01-01,0336,1,nominal,2.0NRT,243.3,9,N
68.52586,79.95419,367,0.53,0.67,2021-01-01,0336,1,high,2.0NRT,244.7,7,N
66.20976,77.24483,367,0.79,0.78,2021-01-01,0336,1,high,2.0NRT,237.8,12.2,N
66.68119,77.31934,353.2,0.73,0.76,2021-01-01,0336,1,nominal,2.0NRT,241.5,9.3,N
66.68393,77.32316,351.8,0.73,0.76,2021-01-01,0336,1,nominal,2.0NRT,239.9,9.2,N
66.4715,76.98843,335.7,0.76,0.77,2021-01-01,0336,1,nominal,2.0NRT,235.3,6.9,N
66.51279,76.91225,367,0.76,0.77,2021-01-01,0336,1,high,2.0NRT,234.7,23.1,N
66.50628,76.90612,350.4,0.76,0.77,2021-01-01,0336,1,nominal,2.0NRT,242.2,25.2,N
